strategy,total_return,CAGR,vol,sharpe,sortino,max_dd,calmar,exposure,win_day_rate,profit_factor,avg_turnover_day,n_days,benchmark_return
btc buy & hold,15.649532866524389,0.3800170505039231,0.6691269329563783,0.8189059247700025,1.1134877651955473,-0.837831430341251,0.4535722064629888,1.0,0.5196109193598996,1.1375860196219962,0.00031377470975839345,3188,14.578950119612527
sma_50_200 (github classic),9.299545919610912,0.3061582412493369,0.5408593541067994,0.7673079091117342,0.7890012573666403,-0.7194127548722278,0.4255668796193536,0.5610291810480076,0.5195749440715883,1.1759354882296824,0.005647944775651083,3188,14.578950119612527
macd_12_26_9 (github classic),21.186193324024774,0.4261455766509519,0.4556243517061763,1.003559686544136,1.1600710768082876,-0.5311283301478884,0.8023401360125058,0.5177282711013492,0.5072727272727273,1.5638978763928126,0.07028553498588014,3188,14.578950119612527
rsi2_reversion (github classic),-0.6237954735539064,-0.10592436498219415,0.4500918819256715,-0.015814680630563866,-0.012753603984426435,-0.8226592966901344,-0.12875848532723988,0.3514276749294007,0.27589285714285716,0.3096790849471683,0.19987449011609665,3188,14.578950119612527
donchian_20 (github classic),18.55045518884132,0.40563743963208876,0.41063442849506426,1.0314145862146693,1.038273116524387,-0.6121444731237256,0.6626498440182798,0.4082208973956699,0.5326671790930054,1.611568908188592,0.04267336052714151,3188,14.578950119612527
alpine-ensemble,17.596640337048672,0.3976083939112518,0.32952575819965213,1.1799721131267762,1.6062338619604744,-0.41475380002868445,0.958661244053106,0.892375274552871,0.520745428973277,1.2537557251200016,0.07410160485693502,3188,14.578950119612527
