strategy,total_return,CAGR,vol,sharpe,sortino,max_dd,calmar,exposure,win_day_rate,profit_factor,avg_turnover_day,n_days,benchmark_return
"{'macd_fast': 8, 'don_n': 15, 'ema_fast': 40, 'target_vol': 0.4}",11.515349803724561,0.33563471245825904,0.31180820056018566,1.083437077784198,1.4705553985032631,-0.4081640746637848,0.8223034149556889,0.8911201757138375,0.5190140845070422,1.2434457212780305,0.08492954713024162,3188,14.578950119612527
"{'macd_fast': 8, 'don_n': 15, 'ema_fast': 40, 'target_vol': 0.5}",13.305038837691779,0.3562369803833181,0.3316783166095656,1.083734740548783,1.4698095769142259,-0.44590576003244375,0.7989064334073607,0.8911201757138375,0.5193661971830986,1.24285578400507,0.08677417982461821,3188,14.578950119612527
"{'macd_fast': 8, 'don_n': 15, 'ema_fast': 40, 'target_vol': 0.6}",13.686723117421634,0.3603332276221516,0.341304194010223,1.071396843870764,1.4496044896923697,-0.4587357409577676,0.7854919411115272,0.8911201757138375,0.5193661971830986,1.239751518271763,0.0873839442409157,3188,14.578950119612527
"{'macd_fast': 8, 'don_n': 15, 'ema_fast': 50, 'target_vol': 0.4}",12.818351624902236,0.3508710943414315,0.31292870769904335,1.1169611485719437,1.51683632408086,-0.40784651208072165,0.8603018144041072,0.893944148101663,0.5205335205335205,1.240682479615782,0.084035037828402,3188,14.578950119612527
"{'macd_fast': 8, 'don_n': 15, 'ema_fast': 50, 'target_vol': 0.5}",14.646997427464457,0.37023645913129877,0.3327535757196096,1.1122055968557314,1.5081219297107098,-0.4438363253422426,0.8341734058063163,0.893944148101663,0.5205335205335205,1.239453801536475,0.0859446929858991,3188,14.578950119612527
"{'macd_fast': 8, 'don_n': 15, 'ema_fast': 50, 'target_vol': 0.6}",14.975963566434006,0.3735054837392846,0.34244399199357345,1.0971646523206846,1.4822077131048865,-0.45674583065271956,0.8177534608373347,0.893944148101663,0.5205335205335205,1.2359938659889187,0.0865348008275447,3188,14.578950119612527
"{'macd_fast': 8, 'don_n': 20, 'ema_fast': 40, 'target_vol': 0.4}",11.790127920537762,0.3389609509501439,0.3085092897817026,1.099874556679695,1.4906604320454815,-0.41853509222145857,0.809874625210137,0.8911201757138375,0.5193661971830986,1.247244637483548,0.0788211184641996,3188,14.578950119612527
"{'macd_fast': 8, 'don_n': 20, 'ema_fast': 40, 'target_vol': 0.5}",13.611266416477674,0.3595309605615684,0.3284402178106777,1.0986524638896478,1.487274512547477,-0.45620151297863554,0.788096817597371,0.8911201757138375,0.5197183098591549,1.246483126109888,0.08056828357854834,3188,14.578950119612527
"{'macd_fast': 8, 'don_n': 20, 'ema_fast': 40, 'target_vol': 0.6}",13.854705003845782,0.36210621080189354,0.33793707402294454,1.0826459572628335,1.4611936045980412,-0.4720803199167105,0.7670436481355126,0.8911201757138375,0.5197183098591549,1.242565020762342,0.08112573073283949,3188,14.578950119612527
"{'macd_fast': 8, 'don_n': 20, 'ema_fast': 50, 'target_vol': 0.4}",13.111502998646488,0.35412283644421017,0.30963731378495357,1.133397501328962,1.5368265193892237,-0.4182995806200438,0.8465770774125456,0.893944148101663,0.5208845208845209,1.244329432810127,0.07793419984545533,3188,14.578950119612527
